y,x1,x2
277.48,4.2218,47.103
317.69,19.989,47.807
194.94,12.994,28.76
112.75,40.003,2.989
119.35,21.571,11.739
207.61,45.532,17.658
254.85,9.0924,41.06
38.65,13.19,0.77017
32.784,7.2769,2.1512
66.965,6.8034,8.4495
285.72,43.465,32.456
275.55,28.985,36.586
248.6,27.493,32.387
146.93,7.2477,22.546
255.26,42.652,27.35
158.51,31.103,14.816
252.87,17.548,37.235
115.93,25.662,9.4478
242.51,20.09,34.339
64.119,3.7983,9.1756
134.77,11.996,18.424
193.35,6.1659,31.281
243.61,9.1954,39.011
54.31,11.998,4.0563
312.21,20.863,46.469
226.91,2.4827,38.786
244.11,45.136,24.34
234.69,47.239,21.793
185.55,24.543,22.339
146.04,24.463,15.317
185.22,16.886,25.425
250.52,45.003,25.539
275.4,18.462,40.881
239.34,5.5601,39.742
274.14,39.013,32.216
154.83,19.487,18.93
259.04,12.085,40.579
199.64,20.196,26.641
113.3,4.8227,17.536
282.1,6.5987,46.95
